Year of Launch,Model,Price (USD),Country,Camera Configuration,Discount Offer
2024,Model-76,1388,UK,64MP + 12MP,20%
2022,Model-77,802,China,12MP + 8MP,10%
2021,Model-78,669,France,12MP + 8MP,10%
2022,Model-79,713,France,48MP + 12MP + 8MP,5%
2016,Model-80,1389,Japan,64MP + 12MP,10%
2024,Model-81,316,UK,108MP + 16MP + 12MP,No Discount
2016,Model-82,610,Germany,64MP + 12MP,10%
2020,Model-83,640,China,48MP + 12MP + 8MP,15%
2020,Model-84,1019,India,48MP + 12MP + 8MP,10%
2022,Model-85,1453,France,64MP + 12MP,10%
2019,Model-86,1140,USA,12MP + 8MP,20%
2024,Model-87,1095,Japan,12MP + 8MP,20%
2019,Model-88,1222,Brazil,64MP + 12MP,5%
2015,Model-89,1122,Canada,108MP + 16MP + 12MP,5%
2019,Model-90,271,India,50MP + 10MP + 10MP,10%
2022,Model-91,204,UK,12MP + 8MP,5%
2022,Model-92,325,Australia,12MP + 8MP,20%
2015,Model-93,670,USA,108MP + 16MP + 12MP,10%
2015,Model-94,765,France,12MP + 8MP,No Discount
2017,Model-95,965,India,64MP + 12MP,15%
2017,Model-96,1145,USA,50MP + 10MP + 10MP,No Discount
2023,Model-97,1497,China,108MP + 16MP + 12MP,5%
2023,Model-98,511,China,12MP + 8MP,15%
2022,Model-99,1463,Germany,48MP + 12MP + 8MP,10%
2022,Model-100,321,India,48MP + 12MP + 8MP,15%
